customer_unique_id,frequency_orders,monetary_total_spend,avg_order_value,total_items_bought,recency_days,customer_tenure_days,orders_last_30d,spend_last_30d,orders_last_90d,spend_last_90d,num_reviews,avg_review_score,negative_review_ratio,num_payment_types_used,avg_installments,credit_card_ratio,num_unique_categories,favorite_category_ratio,avg_items_per_order,orders_per_tenure_day,spend_per_tenure_day,recent_30d_spend_share,recent_90d_spend_share,recent_30d_order_share,recent_90d_order_share,spend_per_review,categories_per_order,reviews_per_order,payment_types_per_order,installments_per_order,spend_per_item,anomaly_score,is_anomaly,anomaly_severity,top_reason,second_reason,third_reason,reason_summary
46450c74a0d8c5ca9395da1daac6c120,3,9553.02,3184.34,1,61,23,0.0,0.0,3.0,9553.02,3,1.0,1.0,2,4.0,0.3333333333333333,1,1.0,0.3333333333333333,0.1304347826086956,415.34869565217394,0.0,1.0,0.0,1.0,3184.34,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,9553.02,0.1367554051385319,1,High,High recent spending (90 days),Very expensive items,Exceptional total spending,High recent spending (90 days) | Very expensive items | Exceptional total spending
c8460e4251689ba205045f3ea17884a1,4,4655.91,1163.9775,24,71,1,0.0,0.0,4.0,4655.91,24,4.0,0.0,1,6.0,1.0,1,1.0,6.0,4.0,4655.91,0.0,1.0,0.0,1.0,193.99625,0.25,6.0,0.25,1.5,193.99625,0.1358678428429001,1,High,Very high spending rate,Very frequent ordering,High recent spending (90 days),Very high spending rate | Very frequent ordering | High recent spending (90 days)
ef0103e9602d12594d19c2b666219bc1,3,253.74,84.58,0,31,19,0.0,0.0,3.0,253.74,3,2.0,1.0,1,1.0,0.0,0,0.0,0.0,0.1578947368421052,13.354736842105265,0.0,1.0,0.0,1.0,84.58,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.1304743244605415,1,High,Heavy ordering in last 90 days,Very high purchase frequency,Highly concentrated shopping,Heavy ordering in last 90 days | Very high purchase frequency | Highly concentrated shopping
b2e9a05d23ea17713b5d7799f2004f8e,3,782.64,260.88,9,81,2,0.0,0.0,3.0,782.64,9,5.0,0.0,2,1.2222222222222223,0.1111111111111111,1,1.0,3.0,1.5,391.32,0.0,1.0,0.0,1.0,86.96,0.3333333333333333,3.0,0.6666666666666666,0.4074074074074074,86.96,0.1233727938859663,1,High,Very frequent ordering,Very high spending rate,Large number of purchased items,Very frequent ordering | Very high spending rate | Large number of purchased items
391d6062da3dd65b4de4524f28c478de,2,236.7,118.35,0,51,18,0.0,0.0,2.0,236.7,2,1.0,1.0,1,1.0,0.0,0,0.0,0.0,0.1111111111111111,13.15,0.0,1.0,0.0,1.0,118.35,0.0,1.0,0.5,0.5,0.0,0.120300656497802,1,High,Heavy ordering in last 90 days,Highly concentrated shopping,Very high purchase frequency,Heavy ordering in last 90 days | Highly concentrated shopping | Very high purchase frequency
7f78ef49a3ec6ff5ca63eb05bf82fefc,2,1168.66,584.33,1,61,25,0.0,0.0,2.0,1168.66,2,1.0,1.0,2,1.0,0.0,1,1.0,0.5,0.08,46.7464,0.0,1.0,0.0,1.0,584.33,0.5,1.0,1.0,0.5,1168.66,0.1113603661295463,1,High,High recent spending (90 days),Heavy ordering in last 90 days,Multiple payment methods,High recent spending (90 days) | Heavy ordering in last 90 days | Multiple payment methods
af5454198a97379394cacf676e1e96cb,3,592.6500000000001,197.55000000000004,1,14,54,1.0,197.55,3.0,592.6500000000001,3,1.0,1.0,2,1.0,0.0,1,1.0,0.3333333333333333,0.0555555555555555,10.975,0.3333333333333333,1.0,0.3333333333333333,1.0,197.55000000000004,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,592.6500000000001,0.1092843005216509,1,High,High recent spending (30 days),Heavy ordering in last 30 days,Large share of spending in last 30 days,High recent spending (30 days) | Heavy ordering in last 30 days | Large share of spending in last 30 days
1f22ecb07d25446bf52c51afa93cfa3b,2,1147.36,573.68,1,66,4,0.0,0.0,2.0,1147.36,2,1.0,1.0,2,3.0,0.5,1,1.0,0.5,0.5,286.84,0.0,1.0,0.0,1.0,573.68,0.5,1.0,1.0,1.5,1147.36,0.1092292349231317,1,High,High recent spending (90 days),Very high spending rate,Very frequent ordering,High recent spending (90 days) | Very high spending rate | Very frequent ordering
0a5dadb73145d29f42f703c97c377ae8,1,2266.61,2266.61,0,42,0,0.0,0.0,1.0,2266.61,0,0.0,0.0,1,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1087268654312596,1,High,High recent spending (90 days),Exceptional total spending,Very high average order value,High recent spending (90 days) | Exceptional total spending | Very high average order value
4e1554d1a2dcb38dcf22770eb7390fe1,2,895.36,447.68,1,51,28,0.0,0.0,2.0,895.36,2,1.0,1.0,2,5.0,0.5,1,1.0,0.5,0.0714285714285714,31.97714285714286,0.0,1.0,0.0,1.0,447.68,0.5,1.0,1.0,2.5,895.36,0.1064348738614058,1,High,High recent spending (90 days),Heavy ordering in last 90 days,Multiple payment methods,High recent spending (90 days) | Heavy ordering in last 90 days | Multiple payment methods
3158fc4f60ca92412de397461b64cee3,2,981.98,490.99,1,49,8,0.0,0.0,2.0,981.98,2,3.0,0.0,2,5.5,0.5,1,1.0,0.5,0.25,122.7475,0.0,1.0,0.0,1.0,490.99,0.5,1.0,1.0,2.75,981.98,0.1038015363597703,1,High,High recent spending (90 days),Heavy ordering in last 90 days,Multiple payment methods,High recent spending (90 days) | Heavy ordering in last 90 days | Multiple payment methods
7849336c1b7785f258ffef06aedbd216,3,622.56,207.52,7,85,307,0.0,0.0,1.0,432.18,7,4.857142857142857,0.0,2,1.0,0.0,3,0.7142857142857143,2.333333333333333,0.009771986970684,2.0278827361563514,0.0,0.6941981495759446,0.0,0.3333333333333333,88.93714285714285,1.0,2.333333333333333,0.6666666666666666,0.3333333333333333,88.93714285714285,0.1031129093294492,1,High,Very high purchase frequency,Large number of purchased items,Broad category diversity,Very high purchase frequency | Large number of purchased items | Broad category diversity
e9d6ce102dcb8ab8a3387021b5040f70,2,136.92,68.46,0,332,13,0.0,0.0,0.0,0.0,3,1.0,1.0,2,1.0,0.3333333333333333,0,0.0,0.0,0.1538461538461538,10.532307692307691,0.0,0.0,0.0,0.0,45.63999999999999,0.0,1.5,1.0,0.5,0.0,0.1022275906560062,1,High,Multiple payment methods,Highly concentrated shopping,Very high purchase frequency,Multiple payment methods | Highly concentrated shopping | Very high purchase frequency
