customer_unique_id,isolation,lof,ocsvm,votes,detected_by,models,first_order_date,last_order_date,frequency_orders,monetary_total_spend,avg_order_value,total_items_bought,snapshot_date,recency_days,customer_tenure_days,orders_last_30d,spend_last_30d,orders_last_90d,spend_last_90d,num_reviews,avg_review_score,min_review_score,negative_review_ratio,num_payment_types_used,avg_installments,credit_card_ratio,num_unique_categories,favorite_category,favorite_category_ratio
0058f300f57d7b93c477a131a59b36c3,1,0,1,2,2,Isolation Forest; One-Class SVM,2018-02-19 17:11:34,2018-03-22 18:09:41,2,159.12,79.56,2,2018-10-18 17:30:18,209,31,0.0,0.0,0.0,0.0,3,3.6666666666666665,1.0,0.3333333333333333,1,1.0,0.0,2,luggage_accessories,0.6666666666666666
0097fca0db567f5ca79509b7b4fc1c2d,1,0,1,2,2,Isolation Forest; One-Class SVM,2018-04-19 11:17:55,2018-04-19 11:17:55,1,227.63,227.63,7,2018-10-18 17:30:18,182,0,0.0,0.0,0.0,0.0,7,1.0,1.0,1.0,1,10.0,1.0,2,furniture_decor,0.8571428571428571
011575986092c30523ecb71ff10cb473,1,0,1,2,2,Isolation Forest; One-Class SVM,2018-02-17 15:54:49,2018-04-18 21:58:08,2,214.9,107.45,2,2018-10-18 17:30:18,182,60,0.0,0.0,0.0,0.0,2,3.5,3.0,0.0,1,1.5,1.0,2,musical_instruments,0.5
012452d40dafae4df401bced74cdb490,1,0,1,2,2,Isolation Forest; One-Class SVM,2017-06-18 22:46:42,2018-05-14 12:12:45,2,452.83,226.415,2,2018-10-18 17:30:18,157,329,0.0,0.0,0.0,0.0,3,4.666666666666667,4.0,0.0,2,5.333333333333333,0.6666666666666666,2,health_beauty,0.6666666666666666
012a218df8995d3ec3bb221828360c86,1,0,1,2,2,Isolation Forest; One-Class SVM,2018-05-07 10:28:17,2018-06-18 13:08:38,2,1478.48,739.24,2,2018-10-18 17:30:18,122,42,0.0,0.0,0.0,0.0,3,3.6666666666666665,3.0,0.0,2,4.0,0.6666666666666666,1,auto,1.0
013ef03e0f3f408dd9bf555e4edcdc0a,1,0,1,2,2,Isolation Forest; One-Class SVM,2018-06-21 04:46:11,2018-07-20 04:13:54,2,245.37,122.685,2,2018-10-18 17:30:18,90,28,0.0,0.0,0.0,0.0,2,5.0,5.0,0.0,1,2.0,1.0,2,musical_instruments,0.5
015557c9912277312b9073947804a7ba,1,0,1,2,2,Isolation Forest; One-Class SVM,2017-03-23 22:45:46,2017-05-01 14:48:33,2,315.12,157.56,2,2018-10-18 17:30:18,535,38,0.0,0.0,0.0,0.0,2,5.0,5.0,0.0,2,2.0,0.5,2,bed_bath_table,0.5
0178b244a5c281fb2ade54038dd4b161,1,0,1,2,2,Isolation Forest; One-Class SVM,2017-05-10 20:04:09,2018-07-28 13:13:00,2,259.89,129.945,4,2018-10-18 17:30:18,82,443,0.0,0.0,1.0,157.86,4,3.25,3.0,0.0,1,8.25,1.0,1,bed_bath_table,1.0
019ed386aec9ff0f9eab4a590231174e,1,0,1,2,2,Isolation Forest; One-Class SVM,2018-07-31 10:27:34,2018-07-31 10:27:34,1,921.24,921.24,6,2018-10-18 17:30:18,79,0,0.0,0.0,1.0,921.24,6,5.0,5.0,0.0,1,5.0,1.0,1,computers_accessories,1.0
01c289bb06354cdc7e6549570f20ada4,1,0,1,2,2,Isolation Forest; One-Class SVM,2017-06-03 19:11:14,2017-12-26 21:14:43,2,232.42000000000002,116.21000000000001,3,2018-10-18 17:30:18,295,206,0.0,0.0,0.0,0.0,5,4.0,4.0,0.0,2,1.4,0.6,1,fashion_bags_accessories,1.0
0241fa2e9adf0576cb0f845377d05c03,1,0,1,2,2,Isolation Forest; One-Class SVM,2018-06-20 20:51:47,2018-07-24 21:24:13,2,199.03,99.515,3,2018-10-18 17:30:18,85,34,0.0,0.0,1.0,44.41,3,4.0,4.0,0.0,1,8.0,1.0,2,consoles_games,0.6666666666666666
