customer_unique_id,detected_by,models,frequency_orders,monetary_total_spend,avg_order_value,total_items_bought,recency_days,customer_tenure_days,avg_review_score,negative_review_ratio,num_payment_types_used,avg_installments,num_unique_categories,favorite_category
0a0a92112bd4c708ca5fde585afaa872,3,Isolation Forest; LOF; One-Class SVM,1,13664.08,13664.08,8,384,0,1.0,1.0,1,1.0,1,fixed_telephony
46450c74a0d8c5ca9395da1daac6c120,3,Isolation Forest; LOF; One-Class SVM,3,9553.02,3184.34,1,61,23,1.0,1.0,2,4.0,1,cool_stuff
459bef486812aa25204be022145caa62,3,Isolation Forest; LOF; One-Class SVM,1,6922.21,6922.21,1,84,0,,0.0,1,1.0,1,computers
c8460e4251689ba205045f3ea17884a1,3,Isolation Forest; LOF; One-Class SVM,4,4655.91,1163.9775,24,71,1,4.0,0.0,1,6.0,1,telephony
ca27f3dac28fb1063faddd424c9d95fa,3,Isolation Forest; LOF; One-Class SVM,1,4163.51,4163.51,1,81,0,4.0,0.0,1,1.0,1,sports_leisure
055ec572ac7f3c7bdd04a183830ebe59,3,Isolation Forest; LOF; One-Class SVM,2,4053.08,2026.54,2,456,30,1.0,1.0,1,10.0,1,auto
eae0a83d752b1dd32697e0e7b4221656,3,Isolation Forest; LOF; One-Class SVM,2,2783.01,1391.505,15,177,81,3.0,0.0,1,8.933333333333334,1,office_furniture
f140f377d666848e3712b51a2734d120,3,Isolation Forest; LOF; One-Class SVM,1,2713.36,2713.36,1,80,0,4.0,0.0,1,1.0,1,housewares
02ccceb879088a0253e1e46e0200bdb8,3,Isolation Forest; LOF; One-Class SVM,1,2512.53,2512.53,1,70,0,4.0,0.0,1,1.0,1,housewares
86df00dc5fd68f4dd5d5945ca19f3ed6,3,Isolation Forest; LOF; One-Class SVM,3,2400.48,800.16,12,370,127,5.0,0.0,1,10.0,1,computers_accessories
d280c55bb8f45e367a7f24151bc99fdd,3,Isolation Forest; LOF; One-Class SVM,1,2345.03,2345.03,0,98,0,1.0,1.0,1,1.0,0,
0a5dadb73145d29f42f703c97c377ae8,3,Isolation Forest; LOF; One-Class SVM,1,2266.61,2266.61,0,42,0,,0.0,1,1.0,0,
7c9a0402e884c791edf88646b7c20a82,3,Isolation Forest; LOF; One-Class SVM,1,2234.7,2234.7,0,92,0,1.0,1.0,1,1.0,0,
c402f431464c72e27330a67f7b94d4fb,3,Isolation Forest; LOF; One-Class SVM,1,2202.4,2202.4,20,238,0,1.0,1.0,1,1.0,1,computers_accessories
c7794313e2cd53472b116a751350f132,3,Isolation Forest; LOF; One-Class SVM,1,2073.25,2073.25,1,62,0,4.0,0.0,2,5.5,1,watches_gifts
921972f1568c1c75a26b18b4cb4ed5a7,3,Isolation Forest; LOF; One-Class SVM,1,2022.33,2022.33,1,62,0,5.0,0.0,1,20.0,1,auto
0341bbd5c969923a0f801b9e2d10a7b8,3,Isolation Forest; LOF; One-Class SVM,2,1999.6799999999998,999.8399999999999,6,141,1,5.0,0.0,1,10.0,2,furniture_living_room
93bc212addb25a5f5139fded3c2ee6b3,3,Isolation Forest; LOF; One-Class SVM,1,1866.7,1866.7,10,378,0,1.0,1.0,1,1.0,1,computers_accessories
025cf7c2f32536f0be1ab412bb6602d2,3,Isolation Forest; LOF; One-Class SVM,1,1812.71,1812.71,1,62,0,,0.0,2,5.5,1,auto
20a5257c01689ac69410a14cb51bb447,3,Isolation Forest; LOF; One-Class SVM,1,1767.1,1767.1,10,401,0,1.0,1.0,1,1.0,1,computers_accessories
5a494c648fde2d1ec4eb614274ea7159,3,Isolation Forest; LOF; One-Class SVM,2,1703.38,851.69,11,223,0,1.0,1.0,1,1.0,1,furniture_decor
b533e550675cfa12227a15e554a33714,3,Isolation Forest; LOF; One-Class SVM,1,1641.51,1641.51,0,573,0,1.0,1.0,1,1.0,0,
39bd660f04727f543f878c1e1103e2df,3,Isolation Forest; LOF; One-Class SVM,1,1620.77,1620.77,0,560,0,2.0,1.0,1,1.0,0,
08f334e84bc7ab7b588cb7fc77dd7f4a,3,Isolation Forest; LOF; One-Class SVM,2,1570.4,785.2,1,64,31,1.0,1.0,2,2.5,1,housewares
0f5ac8d5c31de21d2f25e24be15bbffb,3,Isolation Forest; LOF; One-Class SVM,2,1544.8200000000002,772.4100000000001,18,325,3,5.0,0.0,2,8.5,1,furniture_decor
87ff69ee0a94361f61fbd5e5699c5230,3,Isolation Forest; LOF; One-Class SVM,1,1520.77,1520.77,0,565,0,5.0,0.0,1,10.0,0,
