review_id,order_id,review_score,review_text,dominant_topic,topic_probability
a51001641f84c23a56a82eb76a546d64,75da883b23f0ee17fc5811bc5573d225,5,"Amei minhas banquetas, produto veio em perfeito estado, dentro prazo( em 5 dias) o prazo era de 15 dias, sem nehuma avaria.Recomendo o vendedor.",0,0.945784167107112
122f958038bb9d8ca74f69810ac875c5,4b46e49817058cac906f2c219cc7351e,5,"Tudo Certo! Produto correto e funcionando perfeitamente, veio muito bem embalado e protegido, e chegou muito antes do prazo.",0,0.9424903578447664
1bfe557107e1cb4879ba69f47a6dd600,b8fa6b76d00678e1781c0ff1ed4b55dd,5,"Muito bom o produto, chegou dentro do prazo de entrega, bem embalado, e com as mesmas características relatadas na descrição na página do produto.",0,0.9420674538008228
96a3f13b17820de33189923b61fbc9e8,c7e9244a9fdf9ae33fd94f55e7e24741,5,"super recomendo AMEI PEDIDO ENTREGUE BEM ANTES DO PRAZO ,TUDO CERTINHO VENDEDOR ÓTIMO.OBRIGADO .",0,0.942028151817398
cafcf2436e980eebf92da859451cf7d0,0f305df13dc483e6f48055f1985d1cac,5,"O produto peca um pouquinho na qualidade, entretanto as crianças amaram. A entrega foi realizada antes do previsto. Ficamos muito felizes!",0,0.9416077757816832
77cc2da18a6eb45c188bf8c3e3d3069c,1974ffc6d3d8f6e9d8f82fcffa4be2a5,5,"Adorei O produto chegou bem antes do prazo, veio bem lacrado e bem direitinho, adorei!",0,0.937938622083871
6967a9b96d0bbf2ca6568c77eb71ed82,c2e858dea271d5346de79ab8859bc5d2,5,"Recomendo ! Produto venho em ótimo estado 
Perfeitamente lacrado 
Chegou bem antes do prazo ! Recomendo !",0,0.9379277338584764
1d4c25680f0ee6595cf968dce06d3f2e,2362f0e9afcae197310501d93b070bb6,5,"super recomendo Produto atendeu as expectativas da minha esposa, de ótima qualidade e foi entregue dentro do prazo acordado.",0,0.9376935301531488
eded93144ffb3434badd2a90ed06a2bc,29a644536f583fb95f772df6031b0057,4,Super recomendo Chegou antes do prazo previsto e super recomendo ótimo vendedor e fui muito bem atendida.,0,0.93767153388242
449d97baf7a3c839fe26ca92b224c3f0,4e9909164c9d3f4d58d9428b6e09d523,4,Super recomendo Produto chegou bem antes do prazo previsto. Ainda não instalei + é exatamente como descrito.,0,0.9373310079501964
6125f0c76587f106f8593c1a8f1edb92,69c57a5417fc7d21a4eefc51ccb864c0,1,"Solicito a troca do produto pelo pedido correto .
Produto comprado :Capa de máquina lava & seca LG 12Kg PRATA .
Produto recebido : Capa de máquina lava & seca LG 8,5 a 10KG PRATA",1,0.9663291799958416
94e4bde9a16194c468881a8f4bb08195,341dc4ea81fabe7de6af564b72fcf3e2,2,não confere o produto Eu comprei o KIT cartuchos 664XL (preto e Colorido) e mandaram ERRADO Kit de cartuchos 662XL . QUERO QUE TROQUE PELO PRODUTO CORRETO COM ESTA NO PEDIDO E NA NOTA FISCAL QUE É : KIT CARTUCHOS 664XL .,1,0.9662817174536747
c6c1ae2abc9b5df7786a84181f9dd10b,32006bb319deb6aa1c96bc8194382f2e,1,"Produto de péssima qualidade. Além de vir errado. Pedi na cor preta e veio branca. Pedi 2,00x 2,20 e veio 2,00 x 2,60. Veio com ilhós soltos. O blackout todo.amassado. quero meu dinheiro de volta.",1,0.9650861383103932
527afa9159b9b755a60933e8f41bc34a,9c020760091717505c5fae8c935f047c,1,"Relogio Errado Marca Euro Fiquei muito triste pq pedi um relógio, não tinha cancelei meu pedido e mesmo assim mandaram outro.Detalhe já tinha dito que não queria outro modelo,resumindo pedi extorno de cartão.",1,0.96482967782453
c3bad6ace99f286cca63a9dc7b2cb5ef,08ed4f84b1a078202e8da80c8d96dc77,1,"Boa tarde,qdo comprei era cartucho hp 933XL original e veio cartucho desconhecido com tinta.
No anuncio nao deveriam colocar a embalagem do produto,pois pela foto é que eu queria mas vei o generico.",1,0.9632420586058434
